UniProtName_A	UniProtName_B
NUCL_HUMAN	HNRPD_HUMAN
NUCL_HUMAN	RS12_HUMAN
NUCL_HUMAN	RLA1_HUMAN
NUCL_HUMAN	RLA0_HUMAN
NUCL_HUMAN	RL22_HUMAN
NUCL_HUMAN	RS10_HUMAN
NUCL_HUMAN	VDAC2_HUMAN
NUCL_HUMAN	VDAC3_HUMAN
CD53_HUMAN	CD53_HUMAN
CD53_HUMAN	CD81_HUMAN
CD53_HUMAN	CD82_HUMAN
CD53_HUMAN	LAT_HUMAN
CD53_HUMAN	VAMP3_HUMAN
VPU_HV1S1	CD4_HUMAN
VDAC1_HUMAN	IMB1_HUMAN
VDAC1_HUMAN	SSRP1_HUMAN
VDAC1_HUMAN	VDAC2_HUMAN
VDAC1_HUMAN	VDAC3_HUMAN
VDAC1_HUMAN	ML12A_HUMAN
VDAC1_HUMAN	ATPA_HUMAN
VDAC1_HUMAN	PHB_HUMAN
TIP_SHV2C	CD4_HUMAN
ROA2_HUMAN	ROA2_HUMAN
ROA2_HUMAN	RL40_HUMAN
ROA2_HUMAN	RS19_HUMAN
EF1B_HUMAN	EF1B_HUMAN
RS12_HUMAN	RS19_HUMAN
RS12_HUMAN	RSSA_HUMAN
RS12_HUMAN	RANB9_HUMAN
RS12_HUMAN	RL22_HUMAN
ATPA_HUMAN	RL18_HUMAN
ATPA_HUMAN	HS90B_HUMAN
ATPA_HUMAN	ATPA_HUMAN
DPP4_HUMAN	PTPRC_HUMAN
DPP4_HUMAN	CD4_HUMAN
DPP4_HUMAN	DPP4_HUMAN
DPP4_HUMAN	CXCR4_HUMAN
CD82_HUMAN	CD81_HUMAN
P85A_HUMAN	LAT_HUMAN
P85A_HUMAN	P85A_HUMAN
P85A_HUMAN	KSYK_HUMAN
P85A_HUMAN	LCK_HUMAN
P85A_HUMAN	ZAP70_HUMAN
P85A_HUMAN	VDAC2_HUMAN
P85A_HUMAN	LPPRC_HUMAN
P85A_HUMAN	G3P_HUMAN
P85A_HUMAN	SSRP1_HUMAN
P85A_HUMAN	NEP_HUMAN
CD38_HUMAN	FCG3A_HUMAN
CD38_HUMAN	LCK_HUMAN
CD38_HUMAN	ZAP70_HUMAN
HNRH1_HUMAN	SPG21_HUMAN
HNRH1_HUMAN	HNRH1_HUMAN
HNRH1_HUMAN	ROA2_HUMAN
HNRH1_HUMAN	HNRPD_HUMAN
HNRH1_HUMAN	CH60_HUMAN
PHB_HUMAN	ANXA2_HUMAN
PHB_HUMAN	RL7_HUMAN
PHB_HUMAN	VDAC2_HUMAN
PHB_HUMAN	NPM_HUMAN
PHB_HUMAN	PHB_HUMAN
PHB_HUMAN	LPPRC_HUMAN
PHB_HUMAN	HSP7C_HUMAN
PHB_HUMAN	TBB5_HUMAN
PHB_HUMAN	HS90A_HUMAN
PHB_HUMAN	ATPA_HUMAN
PHB_HUMAN	DDX3X_HUMAN
PHB_HUMAN	RS19_HUMAN
PHB_HUMAN	NUCL_HUMAN
PHB_HUMAN	ROA2_HUMAN
PHB_HUMAN	CH60_HUMAN
PHB_HUMAN	ENOA_HUMAN
PHB_HUMAN	SYFB_HUMAN
PHB_HUMAN	DDX5_HUMAN
PHB_HUMAN	HNRPD_HUMAN
PHB_HUMAN	HNRH1_HUMAN
PHB_HUMAN	RS9_HUMAN
PHB_HUMAN	ROA1_HUMAN
PHB_HUMAN	IMB1_HUMAN
PHB_HUMAN	RS10_HUMAN
PHB_HUMAN	RLA0_HUMAN
PHB_HUMAN	RL22_HUMAN
PHB_HUMAN	RSSA_HUMAN
PHB_HUMAN	CHIP_HUMAN
PHB_HUMAN	RLA1_HUMAN
PHB_HUMAN	RL18_HUMAN
PHB_HUMAN	EF1B_HUMAN
RL22_HUMAN	MK14_HUMAN
RL22_HUMAN	RL22_HUMAN
RL22_HUMAN	RL7_HUMAN
RL22_HUMAN	RLA0_HUMAN
RL22_HUMAN	RSSA_HUMAN
RL22_HUMAN	RS19_HUMAN
RL22_HUMAN	RS10_HUMAN
RL22_HUMAN	RS9_HUMAN
RS19_HUMAN	RS19_HUMAN
RS19_HUMAN	VDAC2_HUMAN
RS19_HUMAN	RSSA_HUMAN
RS19_HUMAN	RS9_HUMAN
RS19_HUMAN	RL40_HUMAN
PI4KA_HUMAN	CD4_HUMAN
EPS15_HUMAN	EPS15_HUMAN
EPS15_HUMAN	TFR1_HUMAN
EPS15_HUMAN	HGS_HUMAN
EPS15_HUMAN	HSP7C_HUMAN
EPS15_HUMAN	ACTB_HUMAN
EPS15_HUMAN	TBB5_HUMAN
LPPRC_HUMAN	HSP7C_HUMAN
LPPRC_HUMAN	VDAC2_HUMAN
LPPRC_HUMAN	TERA_HUMAN
LPPRC_HUMAN	VDAC3_HUMAN
LPPRC_HUMAN	LPPRC_HUMAN
ZAP70_HUMAN	LCK_HUMAN
ZAP70_HUMAN	LAT_HUMAN
ZAP70_HUMAN	CD5_HUMAN
ZAP70_HUMAN	TBB5_HUMAN
ZAP70_HUMAN	ZAP70_HUMAN
ZAP70_HUMAN	FCG3A_HUMAN
ZAP70_HUMAN	PTPRC_HUMAN
KSYK_HUMAN	LCK_HUMAN
KSYK_HUMAN	LAT_HUMAN
KSYK_HUMAN	KSYK_HUMAN
KSYK_HUMAN	RS10_HUMAN
KSYK_HUMAN	HGS_HUMAN
VDAC2_HUMAN	ATPA_HUMAN
VDAC2_HUMAN	TERA_HUMAN
VDAC2_HUMAN	HNRPD_HUMAN
RS9_HUMAN	NUCL_HUMAN
RS9_HUMAN	TBB5_HUMAN
RS9_HUMAN	RSSA_HUMAN
RS9_HUMAN	RS10_HUMAN
RS9_HUMAN	RS12_HUMAN
RS9_HUMAN	RL7_HUMAN
RS10_HUMAN	RS12_HUMAN
RS10_HUMAN	RSSA_HUMAN
RS10_HUMAN	RS19_HUMAN
RS10_HUMAN	RL7_HUMAN
SDF1_HUMAN	DPP4_HUMAN
SDF1_HUMAN	SDF1_HUMAN
SDF1_HUMAN	CD4_HUMAN
CCR5_HUMAN	CD4_HUMAN
CCR5_HUMAN	CXCR4_HUMAN
CCR5_HUMAN	CCR5_HUMAN
CCR5_HUMAN	GNAI2_HUMAN
CCR5_HUMAN	LCK_HUMAN
TERA_HUMAN	TERA_HUMAN
TERA_HUMAN	RS9_HUMAN
TERA_HUMAN	ACTB_HUMAN
TERA_HUMAN	ANXA2_HUMAN
